Estuary,Site,Date,Depth,Shoot,Leaf,Wasting Disease?,Height of WD
Yaquina Bay,IF,JULY_2019,Upper,9,2,1,0
Yaquina Bay,IF,JULY_2019,Upper,9,1,1,0
Yaquina Bay,IF,JULY_2019,Upper,10,5,1,0
Yaquina Bay,IF,JULY_2019,Upper,10,4,1,0
Yaquina Bay,IF,JULY_2019,Upper,10,3,1,0
Yaquina Bay,IF,JULY_2019,Upper,10,2,1,0
Yaquina Bay,IF,JULY_2019,Upper,10,1,1,0
Yaquina Bay,IF,JULY_2019,Upper,11,5,1,0
Yaquina Bay,IF,JULY_2019,Upper,11,4,1,0
Yaquina Bay,IF,JULY_2019,Upper,11,3,1,0
Yaquina Bay,IF,JULY_2019,Upper,11,2,1,0
Yaquina Bay,IF,JULY_2019,Upper,11,1,1,0
Yaquina Bay,IF,JULY_2019,Upper,12,5,1,0
Yaquina Bay,IF,JULY_2019,Upper,12,4,1,0
Yaquina Bay,IF,JULY_2019,Upper,12,3,1,0
Yaquina Bay,IF,JULY_2019,Upper,12,2,1,0
Yaquina Bay,IF,JULY_2019,Upper,12,1,1,0
Yaquina Bay,IF,JULY_2019,Upper,13,5,1,0
Yaquina Bay,IF,JULY_2019,Upper,13,4,1,0
Yaquina Bay,IF,JULY_2019,Upper,13,3,1,0
Yaquina Bay,IF,JULY_2019,Upper,13,2,1,0
Yaquina Bay,IF,JULY_2019,Upper,13,1,1,0
Yaquina Bay,IF,JULY_2019,Upper,14,5,1,0
Yaquina Bay,IF,JULY_2019,Upper,14,4,1,0
Yaquina Bay,IF,JULY_2019,Upper,14,3,1,0
Yaquina Bay,IF,JULY_2019,Upper,14,2,1,0
Yaquina Bay,IF,JULY_2019,Upper,14,1,1,0
Yaquina Bay,IF,JULY_2019,Upper,15,4,1,0
Yaquina Bay,IF,JULY_2019,Upper,15,3,1,0
Yaquina Bay,IF,JULY_2019,Upper,15,2,1,0
Yaquina Bay,IF,JULY_2019,Upper,15,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,1,4,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,1,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,1,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,1,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,2,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,2,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,2,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,3,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,3,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,4,4,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,4,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,4,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,4,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,5,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,5,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,5,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,6,4,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,6,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,6,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,6,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,7,4,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,7,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,7,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,7,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,8,4,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,8,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,8,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,8,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,9,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,9,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,9,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,10,4,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,10,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,10,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,10,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,11,4,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,11,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,11,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,11,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,12,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,12,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,12,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,13,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,13,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,13,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,14,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,14,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,14,1,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,15,3,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,15,2,1,0
Yaquina Bay,IF,AUGUST_2019,Lower,15,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,1,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,1,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,1,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,1,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,2,5,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,2,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,2,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,2,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,2,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,3,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,3,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,3,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,3,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,4,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,4,3,2,73.3
Yaquina Bay,IF,AUGUST_2019,Upper,4,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,4,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,5,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,5,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,5,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,5,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,6,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,6,3,2,126.1
Yaquina Bay,IF,AUGUST_2019,Upper,6,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,6,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,7,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,7,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,7,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,7,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,8,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,8,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,8,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,9,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,9,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,9,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,10,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,10,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,10,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,11,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,11,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,11,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,12,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,12,2,2,69.5
Yaquina Bay,IF,AUGUST_2019,Upper,12,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,13,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,13,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,13,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,14,4,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,14,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,14,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,14,1,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,15,3,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,15,2,1,0
Yaquina Bay,IF,AUGUST_2019,Upper,15,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,1,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,1,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,1,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,1,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,1,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,2,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,2,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,2,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,2,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,3,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,3,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,3,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,3,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,4,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,4,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,4,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,4,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,5,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,5,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,5,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,5,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,6,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,6,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,6,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,6,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,6,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,7,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,7,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,7,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,7,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,7,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,8,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,8,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,8,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,8,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,8,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,9,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,9,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,9,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,9,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,10,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,10,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,10,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,10,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,10,1,1,0
Yaquina Bay,SBN,JULY_2019,Lower,11,5,1,0
Yaquina Bay,SBN,JULY_2019,Lower,11,4,1,0
Yaquina Bay,SBN,JULY_2019,Lower,11,3,1,0
Yaquina Bay,SBN,JULY_2019,Lower,11,2,1,0
Yaquina Bay,SBN,JULY_2019,Lower,11,1,1,0
